station,month,month_name,depth_m,temp_C,DO_mgl,chla_ugl,pH,NO3_N,NH4_N,air_temp_C,precip_mm
CIII,2,Feb,6,NA,11.6,7.59,7.9,0.36,0,7.6,46
CIII,3,Mar,6,NA,11.9,10.74,7.93,0.3,0,10.9,46
CIII,4,Apr,6,NA,12,6.18,7.77,0.56,0,11.5,70
CIII,5,May,6,NA,11,9.69,7.41,0.34,0,16.6,83
CIII,6,Jun,6,NA,8.1,10.88,7.42,0.31,0,18.8,79
CIII,7,Jul,6,NA,7.6,3.53,7.21,0.41,0,23.3,47
CIII,8,Aug,6,NA,10,2.88,7.15,0.62,0,23.3,36
CIII,9,Sep,6,NA,9.9,4.13,7.33,0.59,0,19.9,64
CIII,10,Oct,6,NA,10.6,2.45,7.55,0.58,0,13.6,91
CIII,11,Nov,6,NA,9.2,3.98,7.48,0.43,0,10.5,83
CIII,12,Dec,6,NA,9.4,5.23,7.47,0.31,0,7.7,106
CIII,1,Jan,9,NA,10.2,3.48,7.68,0.24,0,6.4,53
CIII,2,Feb,9,NA,12.4,10.12,7.86,0.35,0,7.6,46
CIII,3,Mar,9,NA,12.4,13.51,7.93,0.29,0,10.9,46
CIII,4,Apr,9,NA,12.2,9.33,7.75,0.54,0,11.5,70
CIII,5,May,9,NA,10.8,13.4,7.45,0.33,0,16.6,83
CIII,6,Jun,9,NA,10.6,8.56,7.45,0.3,0,18.8,79
CIII,7,Jul,9,NA,11.2,2.51,7.47,0.5,0,23.3,47
CIII,8,Aug,9,NA,10.4,4.59,7.25,0.68,0,23.3,36
CIII,9,Sep,9,NA,9.8,7.26,7.25,0.6,0,19.9,64
CIII,10,Oct,9,NA,6.8,5.26,7.32,0.57,0,13.6,91
CIII,11,Nov,9,NA,9,5.67,7.43,0.31,0,10.5,83
CIII,12,Dec,9,NA,9.3,5.12,7.46,0.17,0,7.7,106
CIII,1,Jan,10,10.9,NA,NA,NA,NA,NA,6.4,53
CIII,2,Feb,10,9.9,NA,NA,NA,NA,NA,7.6,46
CIII,3,Mar,10,10.6,NA,NA,NA,NA,NA,10.9,46
CIII,4,Apr,10,12.3,NA,NA,NA,NA,NA,11.5,70
CIII,5,May,10,12.4,NA,NA,NA,NA,NA,16.6,83
CIII,6,Jun,10,13.3,NA,NA,NA,NA,NA,18.8,79
CIII,7,Jul,10,11.6,NA,NA,NA,NA,NA,23.3,47
CIII,8,Aug,10,13.2,NA,NA,NA,NA,NA,23.3,36
CIII,9,Sep,10,14,NA,NA,NA,NA,NA,19.9,64
CIII,10,Oct,10,14.8,NA,NA,NA,NA,NA,13.6,91
CIII,11,Nov,10,14.8,NA,NA,NA,NA,NA,10.5,83
CIII,12,Dec,10,11.4,NA,NA,NA,NA,NA,7.7,106
CIII,1,Jan,12,NA,9.8,2.38,7.64,0.21,0,6.4,53
CIII,2,Feb,12,NA,12,7.42,7.86,0.33,0,7.6,46
CIII,3,Mar,12,NA,12,12.52,7.94,0.28,0,10.9,46
CIII,4,Apr,12,NA,12,9.27,7.7,0.53,0,11.5,70
CIII,5,May,12,NA,11.2,11.09,7.5,0.33,0,16.6,83
CIII,6,Jun,12,NA,7.5,8.51,7.41,0.34,0,18.8,79
CIII,7,Jul,12,NA,7,3.52,7.57,0.51,0,23.3,47
CIII,8,Aug,12,NA,4.3,2.51,7.35,0.71,0,23.3,36
CIII,9,Sep,12,NA,3.7,4.32,7.1,0.55,0,19.9,64
CIII,10,Oct,12,NA,1.3,NA,7.26,0.5,0,13.6,91
CIII,11,Nov,12,NA,8.7,4.43,7.35,0.25,0,10.5,83
CIII,12,Dec,12,NA,9,5.12,7.43,0.1,0,7.7,106
CIII,1,Jan,15,11,8.9,2.56,7.59,0.22,0,6.4,53
CIII,2,Feb,15,9.9,11.7,8.7,7.89,0.31,0,7.6,46
CIII,3,Mar,15,9.9,11.3,12.75,7.92,0.27,0,10.9,46
CIII,4,Apr,15,10.8,10.5,7.83,7.69,0.52,0,11.5,70
CIII,5,May,15,10.2,9.5,3.62,7.44,0.32,0,16.6,83
CIII,6,Jun,15,11.85,6.4,5.51,7.39,0.33,0,18.8,79
CIII,7,Jul,15,9.2,3.2,NA,7.35,0.5,0,23.3,47
CIII,8,Aug,15,10.1,1.2,2.43,7.1,0.49,0,23.3,36
CIII,9,Sep,15,10.5,1.2,3.12,6.95,0.46,0.36,19.9,64
CIII,10,Oct,15,10.8,NA,NA,6.95,0.39,0.77,13.6,91
CIII,11,Nov,15,13.1,8.5,3.47,7.05,0.19,0,10.5,83
CIII,12,Dec,15,11.4,8.9,5.23,7.43,0.05,0,7.7,106
CIII,1,Jan,18,NA,8.9,1.2,7.51,0.25,0,6.4,53
CIII,2,Feb,18,NA,10.8,7.2,7.75,0.29,0,7.6,46
CIII,3,Mar,18,NA,10.6,12.73,7.87,0.25,0,10.9,46
CIII,4,Apr,18,NA,10,2.48,7.64,0.5,0,11.5,70
CIII,5,May,18,NA,9,4.06,7.44,0.3,0,16.6,83
CIII,6,Jun,18,NA,6.4,4.4,7.38,0.32,0,18.8,79
CIII,7,Jul,18,NA,3.1,NA,7.32,0.4,0,23.3,47
CIII,8,Aug,18,NA,0.5,3.63,7.05,0.31,0,23.3,36
CIII,9,Sep,18,NA,NA,NA,7.01,NA,0.99,19.9,64
CIII,10,Oct,18,NA,NA,NA,6.9,NA,0.9,13.6,91
CIII,11,Nov,18,NA,8.3,1.58,6.96,NA,0.72,10.5,83
CIII,12,Dec,18,NA,8.9,2.51,7.4,NA,0,7.7,106
CIII,1,Jan,20,11.1,NA,NA,NA,NA,NA,6.4,53
CIII,2,Feb,20,11.4,NA,NA,NA,NA,NA,7.6,46
CIII,3,Mar,20,11,NA,NA,NA,NA,NA,10.9,46
CIII,4,Apr,20,11.5,NA,NA,NA,NA,NA,11.5,70
CIII,5,May,20,11.2,NA,NA,NA,NA,NA,16.6,83
CIII,6,Jun,20,11.8,NA,NA,NA,NA,NA,18.8,79
CIII,7,Jul,20,10.4,NA,NA,NA,NA,NA,23.3,47
CIII,8,Aug,20,11.5,NA,NA,NA,NA,NA,23.3,36
CIII,9,Sep,20,11.5,NA,NA,NA,NA,NA,19.9,64
CIII,10,Oct,20,11.6,NA,NA,NA,NA,NA,13.6,91
CIII,11,Nov,20,12.5,NA,NA,NA,NA,NA,10.5,83
CIII,12,Dec,20,12.6,NA,NA,NA,NA,NA,7.7,106
CIII,1,Jan,21,NA,NA,0.97,6.88,NA,2.16,6.4,53
CIII,2,Feb,21,NA,NA,NA,7,NA,2.34,7.6,46
CIII,3,Mar,21,NA,NA,12.7,7.83,0.19,0.81,10.9,46
CIII,4,Apr,21,NA,8,1.44,7.08,NA,1.8,11.5,70
CIII,5,May,21,NA,NA,1.04,6.91,NA,1.53,16.6,83
CIII,6,Jun,21,NA,NA,1.21,6.87,NA,1.26,18.8,79
CIII,7,Jul,21,NA,NA,NA,6.86,NA,1.35,23.3,47
CIII,8,Aug,21,NA,NA,NA,6.66,NA,1.44,23.3,36
CIII,9,Sep,21,NA,NA,NA,6.84,NA,1.69,19.9,64
CIII,10,Oct,21,NA,NA,NA,6.85,NA,2.25,13.6,91
CIII,11,Nov,21,NA,NA,NA,6.94,NA,2.16,10.5,83
CIII,12,Dec,21,NA,NA,NA,7.25,NA,2.14,7.7,106
CIII,1,Jan,24,NA,NA,NA,6.92,NA,NA,6.4,53
CIII,2,Feb,24,NA,NA,NA,7.02,NA,NA,7.6,46
CIII,3,Mar,24,NA,NA,2.75,7.05,NA,NA,10.9,46
CIII,4,Apr,24,NA,NA,0.46,6.95,NA,NA,11.5,70
CIII,5,May,24,NA,NA,0.53,NA,NA,NA,16.6,83
CIII,6,Jun,24,NA,NA,1.28,6.91,NA,NA,18.8,79
CIII,7,Jul,24,NA,NA,NA,6.97,NA,NA,23.3,47
CIII,8,Aug,24,NA,NA,NA,6.69,NA,NA,23.3,36
CIII,9,Sep,24,NA,NA,NA,6.92,NA,NA,19.9,64
CIII,10,Oct,24,NA,NA,NA,6.87,NA,NA,13.6,91
CIII,11,Nov,24,NA,NA,NA,6.94,NA,NA,10.5,83
CIII,12,Dec,24,NA,NA,NA,7.05,NA,NA,7.7,106
CIII,1,Jan,25,16,NA,NA,NA,NA,NA,6.4,53
CIII,2,Feb,25,13.7,NA,NA,NA,NA,NA,7.6,46
CIII,3,Mar,25,12,NA,NA,NA,NA,NA,10.9,46
CIII,4,Apr,25,13.2,NA,NA,NA,NA,NA,11.5,70
CIII,5,May,25,16.6,NA,NA,NA,NA,NA,16.6,83
CIII,6,Jun,25,15.3,NA,NA,NA,NA,NA,18.8,79
CIII,7,Jul,25,10.8,NA,NA,NA,NA,NA,23.3,47
CIII,8,Aug,25,11,NA,NA,NA,NA,NA,23.3,36
CIII,9,Sep,25,12.1,NA,NA,NA,NA,NA,19.9,64
CIII,10,Oct,25,12,NA,NA,NA,NA,NA,13.6,91
CIII,11,Nov,25,13,NA,NA,NA,NA,NA,10.5,83
CIII,12,Dec,25,15.6,NA,NA,NA,NA,NA,7.7,106
CIV,1,Jan,0,10.5,8.7,4.66,NA,NA,NA,6.4,53
CIV,2,Feb,0,9.2,10.6,10.28,NA,NA,NA,7.6,46
CIV,3,Mar,0,12.3,10.7,12.2,NA,NA,NA,10.9,46
CIV,4,Apr,0,15.7,10,7.31,NA,NA,NA,11.5,70
CIV,5,May,0,19,9.2,5.64,NA,NA,NA,16.6,83
CIV,6,Jun,0,20.3,8.3,5.1,NA,NA,NA,18.8,79
CIV,7,Jul,0,24.1,8.6,4.57,NA,NA,NA,23.3,47
CIV,8,Aug,0,14.9,10,4.22,NA,NA,NA,23.3,36
CIV,9,Sep,0,22.4,10,3.86,NA,NA,NA,19.9,64
CIV,10,Oct,0,18.2,10.2,4.36,NA,NA,NA,13.6,91
CIV,11,Nov,0,16,9.4,4.22,NA,NA,NA,10.5,83
CIV,12,Dec,0,12.5,9.4,5.98,NA,NA,NA,7.7,106
CIV,1,Jan,3,10.6,8.5,5.02,NA,NA,NA,6.4,53
CIV,2,Feb,3,9.4,12.9,12.84,NA,NA,NA,7.6,46
CIV,3,Mar,3,11.7,12,12.6,NA,NA,NA,10.9,46
CIV,4,Apr,3,15.5,10.5,7.53,NA,NA,NA,11.5,70
CIV,5,May,3,17.6,9.8,6.15,NA,NA,NA,16.6,83
CIV,6,Jun,3,19.7,9.8,5.47,NA,NA,NA,18.8,79
CIV,7,Jul,3,22.9,8.9,4.63,NA,NA,NA,23.3,47
CIV,8,Aug,3,24.2,10.2,4.15,NA,NA,NA,23.3,36
CIV,9,Sep,3,22,9.6,3.47,NA,NA,NA,19.9,64
CIV,10,Oct,3,18.3,10,4.23,NA,NA,NA,13.6,91
CIV,11,Nov,3,15.6,9.5,4.15,NA,NA,NA,10.5,83
CIV,12,Dec,3,12.4,9.6,6.8,NA,NA,NA,7.7,106
CIV,1,Jan,6,10.6,8,4.55,NA,NA,NA,6.4,53
CIV,2,Feb,6,9.6,13.4,5.99,NA,NA,NA,7.6,46
CIV,3,Mar,6,11.4,12.5,13.7,NA,NA,NA,10.9,46
CIV,4,Apr,6,14.7,10.5,9.21,NA,NA,NA,11.5,70
CIV,5,May,6,15.6,10,8.23,NA,NA,NA,16.6,83
CIV,6,Jun,6,16,8.7,12.38,NA,NA,NA,18.8,79
CIV,7,Jul,6,17,9.4,5.72,NA,NA,NA,23.3,47
CIV,8,Aug,6,20.2,9.8,4.36,NA,NA,NA,23.3,36
CIV,9,Sep,6,19.6,9.4,2.44,NA,NA,NA,19.9,64
CIV,10,Oct,6,16.5,10.1,3.14,NA,NA,NA,13.6,91
CIV,11,Nov,6,15.5,9.6,4.76,NA,NA,NA,10.5,83
CIV,12,Dec,6,12.5,9.5,6.41,NA,NA,NA,7.7,106
CIV,1,Jan,9,10.5,7.5,4.04,NA,NA,NA,6.4,53
CIV,2,Feb,9,9.7,12.4,5.55,NA,NA,NA,7.6,46
CIV,3,Mar,9,11.2,12,14.9,NA,NA,NA,10.9,46
CIV,4,Apr,9,13.2,9.2,9.83,NA,NA,NA,11.5,70
CIV,5,May,9,14.3,8.4,8.17,NA,NA,NA,16.6,83
CIV,6,Jun,9,14.6,6.1,14.57,NA,NA,NA,18.8,79
CIV,7,Jul,9,14.4,5.5,5.51,NA,NA,NA,23.3,47
CIV,8,Aug,9,16.5,3.3,4.01,NA,NA,NA,23.3,36
CIV,9,Sep,9,16.9,3.2,NA,NA,NA,NA,19.9,64
CIV,10,Oct,9,17.4,7,3.7,NA,NA,NA,13.6,91
CIV,11,Nov,9,14.9,9,5.32,NA,NA,NA,10.5,83
CIV,12,Dec,9,12,9.5,6.42,NA,NA,NA,7.7,106
CIV,1,Jan,12,11.1,7,2.85,NA,NA,NA,6.4,53
CIV,2,Feb,12,9.9,11.2,8.65,NA,NA,NA,7.6,46
CIV,3,Mar,12,10.9,11,24.6,NA,NA,NA,10.9,46
CIV,4,Apr,12,12.7,7.4,10.12,NA,NA,NA,11.5,70
CIV,5,May,12,13,6.1,1.57,NA,NA,NA,16.6,83
CIV,6,Jun,12,13,5.2,9.75,NA,NA,NA,18.8,79
CIV,7,Jul,12,12.1,1.5,5.25,NA,NA,NA,23.3,47
CIV,8,Aug,12,14.2,NA,3.51,NA,NA,NA,23.3,36
CIV,9,Sep,12,14.3,0.5,NA,NA,NA,NA,19.9,64
CIV,10,Oct,12,15,NA,NA,NA,NA,NA,13.6,91
CIV,11,Nov,12,14.8,7,2.13,NA,NA,NA,10.5,83
CIV,12,Dec,12,11.9,9.4,5.28,NA,NA,NA,7.7,106
CIV,1,Jan,15,13.8,1.5,1.18,NA,NA,NA,6.4,53
CIV,2,Feb,15,12.6,NA,1.28,NA,NA,NA,7.6,46
CIV,3,Mar,15,11.9,5,9.37,NA,NA,NA,10.9,46
CIV,4,Apr,15,13.91,NA,NA,NA,NA,NA,11.5,70
CIV,5,May,15,14.1,NA,NA,NA,NA,NA,16.6,83
CIV,6,Jun,15,14.25,NA,NA,NA,NA,NA,18.8,79
CIV,7,Jul,15,12.4,1,NA,NA,NA,NA,23.3,47
CIV,8,Aug,15,14.3,NA,NA,NA,NA,NA,23.3,36
CIV,9,Sep,15,14.3,NA,NA,NA,NA,NA,19.9,64
CIV,10,Oct,15,14.3,NA,NA,NA,NA,NA,13.6,91
CIV,11,Nov,15,14,2,NA,NA,NA,NA,10.5,83
CIV,12,Dec,15,13.9,NA,4.93,NA,NA,NA,7.7,106
